"source_code","target_code","target_name"
"4776021000006118","I20","Ischemic Heart Disease"
"4776031000006115","I20","Ischemic Heart Disease"
"4776051000006110","I20","Ischemic Heart Disease"
"4776121000006117","I20","Ischemic Heart Disease"
"4776131000006119","I20","Ischemic Heart Disease"
"4776171000006116","I20","Ischemic Heart Disease"
"4776221000006110","I20","Ischemic Heart Disease"
"4776251000006118","I20","Ischemic Heart Disease"
"482811000006113","I20","Ischemic Heart Disease"
"482941000006119","I20","Ischemic Heart Disease"
"484402013","I20","Ischemic Heart Disease"
"494260016","I20","Ischemic Heart Disease"
"494261017","I20","Ischemic Heart Disease"
"4943331000006119","I20","Ischemic Heart Disease"
"494438016","I20","Ischemic Heart Disease"
"496991000006111","I20","Ischemic Heart Disease"
"498031000006112","I20","Ischemic Heart Disease"
"498328016","I20","Ischemic Heart Disease"
"5040091000006112","I20","Ischemic Heart Disease"
"5040101000006118","I20","Ischemic Heart Disease"
"5040111000006115","I20","Ischemic Heart Disease"
"5040131000006114","I20","Ischemic Heart Disease"
"5040141000006116","I20","Ischemic Heart Disease"
"5040151000006119","I20","Ischemic Heart Disease"
"5040161000006117","I20","Ischemic Heart Disease"
"5040171000006112","I20","Ischemic Heart Disease"
"5040181000006110","I20","Ischemic Heart Disease"
"5040191000006113","I20","Ischemic Heart Disease"
"5040201000006111","I20","Ischemic Heart Disease"
"5040211000006114","I20","Ischemic Heart Disease"
"5040221000006118","I20","Ischemic Heart Disease"
"5040281000006119","I20","Ischemic Heart Disease"
"5040351000006116","I20","Ischemic Heart Disease"
"5056201000006111","I20","Ischemic Heart Disease"
"5056241000006113","I20","Ischemic Heart Disease"
"5056461000006113","I20","Ischemic Heart Disease"
"5056501000006113","I20","Ischemic Heart Disease"
"5056521000006115","I20","Ischemic Heart Disease"
"5056941000006119","I20","Ischemic Heart Disease"
"5056951000006117","I20","Ischemic Heart Disease"
"5297591000006116","I20","Ischemic Heart Disease"
"5297601000006112","I20","Ischemic Heart Disease"
"52981000006112","I20","Ischemic Heart Disease"
"537751000006115","I20","Ischemic Heart Disease"
"543291000006110","I20","Ischemic Heart Disease"
"5578731000006113","I20","Ischemic Heart Disease"
"5578751000006118","I20","Ischemic Heart Disease"
"5586411000006118","I20","Ischemic Heart Disease"
"585631000000113","I20","Ischemic Heart Disease"
"5887611000006117","I20","Ischemic Heart Disease"
"5887631000006111","I20","Ischemic Heart Disease"
"5887641000006118","I20","Ischemic Heart Disease"
"5935321000006111","I20","Ischemic Heart Disease"
"595731000006114","I20","Ischemic Heart Disease"
"6053071000006117","I20","Ischemic Heart Disease"
"6056601000006112","I20","Ischemic Heart Disease"
"616081000006113","I20","Ischemic Heart Disease"
"634751000006116","I20","Ischemic Heart Disease"
"6348651000006112","I20","Ischemic Heart Disease"
"635451000006111","I20","Ischemic Heart Disease"
"635641000006111","I20","Ischemic Heart Disease"
"6546111000006118","I20","Ischemic Heart Disease"
"6601121000006118","I20","Ischemic Heart Disease"
"6601131000006115","I20","Ischemic Heart Disease"
"6619201000006117","I20","Ischemic Heart Disease"
"6651221000006117","I20","Ischemic Heart Disease"
"6651391000006114","I20","Ischemic Heart Disease"
"67081000006119","I20","Ischemic Heart Disease"
"682481000006118","I20","Ischemic Heart Disease"
"6847761000006118","I20","Ischemic Heart Disease"
"6847871000006116","I20","Ischemic Heart Disease"
"6860251000006115","I20","Ischemic Heart Disease"
"6860261000006118","I20","Ischemic Heart Disease"
"6869441000006114","I20","Ischemic Heart Disease"
"72571000006115","I20","Ischemic Heart Disease"
"7278491000006111","I20","Ischemic Heart Disease"
"728841000006111","I20","Ischemic Heart Disease"
